,index,Cell_ID,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe
0,0,G40031,0,3,0,0,0,0,0
1,1,G40032,10,0,0,1,0,0,0
2,2,G40033,73,0,3,0,2,0,0
3,3,G40035,138,0,4,3,3,0,0
4,4,G40036,68,0,0,1,0,0,0
5,5,G40037,10,0,0,0,0,0,0
6,6,G4003A,36,1,0,0,0,0,0
7,7,G4003B,38,0,0,0,2,0,0
8,8,G4003C,15,0,5,0,0,0,0
9,9,G41981,53,0,1,4,0,0,0
10,10,G41982,104,0,0,0,0,0,0
11,11,G41983,92,0,0,0,0,0,0
12,12,G41985,63,0,0,0,0,0,0
13,13,G41986,19,0,0,0,0,0,0
14,14,G41987,242,0,8,0,7,0,0
15,15,G4198A,36,0,0,0,0,0,0
16,16,G4198B,186,0,4,0,2,0,0
17,17,G4198C,166,0,0,1,0,0,0
18,18,G45261,24,0,0,0,0,0,0
19,19,G45262,60,0,0,0,0,0,0
20,20,G45263,15,0,0,0,0,0,0
21,21,G45266,21,0,0,0,0,0,0
22,22,G4526A,93,0,0,0,0,0,0
23,23,G4526C,18,0,0,0,0,0,0
24,24,G45336,0,2,0,0,0,0,0
25,25,G45345,0,19,0,0,0,0,0
26,26,G4534C,0,1,0,0,0,0,0
27,27,G46021,0,0,26,0,0,0,0
28,28,G46022,51,0,12,0,0,0,0
29,29,G46023,39,0,34,0,0,0,0
30,30,G46025,18,0,45,0,0,0,0
31,31,G46026,28,0,60,0,0,0,0
32,32,G46027,3,0,47,0,0,0,0
33,33,G4602A,20,0,108,0,0,0,0
34,34,G4602B,55,0,35,1,0,0,0
35,35,G4602C,54,0,30,0,0,0,0
36,36,G46421,0,1,0,0,0,0,0
37,37,G46425,0,230,0,0,0,0,0
38,38,G46428,0,1,0,0,0,0,0
39,39,G46891,8,0,9,0,0,0,0
40,40,G46893,110,0,3,0,4,0,0
41,41,G46895,2,0,17,0,3,0,0
42,42,G46897,10,0,0,0,0,0,0
43,43,G4689A,78,0,0,0,0,0,0
44,44,G4689B,20,0,0,0,0,0,0
45,45,G4689C,1,0,0,0,0,0,0
46,46,G46901,30,0,0,0,0,0,0
47,47,G46902,122,1,22,0,7,0,0
48,48,G46903,18,0,3,0,2,0,0
49,49,G46905,9,0,0,1,0,0,0
50,50,G46906,99,0,0,0,0,0,0
51,51,G46907,1,3,0,0,0,0,0
52,52,G47132,0,13,0,0,0,0,0
53,53,G4713B,0,51,0,0,0,0,0
54,54,G47381,229,0,1,0,1,0,0
55,55,G47382,175,0,43,0,9,0,0
56,56,G47383,71,0,0,0,0,0,0
57,57,G47385,32,0,13,0,0,0,0
58,58,G47387,24,0,1,0,0,0,0
59,59,G4738A,83,0,6,0,0,0,0
60,60,G4738B,0,0,7,0,0,0,0
61,61,G4738C,17,0,2,0,0,0,0
62,62,G47391,87,0,0,0,0,0,0
63,63,G47392,4,0,0,0,0,0,0
64,64,G47393,47,0,0,0,0,0,0
65,65,G47395,121,0,76,0,0,0,0
66,66,G47396,87,0,52,0,3,0,0
67,67,G47397,177,0,0,0,0,0,0
68,68,G4739A,84,0,50,0,0,0,0
69,69,G4739C,23,0,4,0,0,0,0
70,70,G49312,14,5,0,0,0,0,0
71,71,G49313,5,0,0,0,0,0,0
72,72,G49316,16,0,0,0,0,0,0
73,73,G4931A,0,0,11,0,0,0,0
74,74,G4931B,9,0,0,0,0,0,0
75,75,G4931C,7,0,0,0,0,0,0
76,76,G49321,1,1,5,0,0,0,0
77,77,G49322,56,0,0,0,0,0,0
78,78,G49323,71,0,0,0,0,0,0
79,79,G49325,0,1,47,0,1,0,0
80,80,G49326,28,0,0,0,0,0,0
81,81,G49327,59,0,6,0,5,0,0
82,82,G4932A,5,0,1,0,0,0,0
83,83,G4932C,37,0,2,0,0,0,0
84,84,G49471,112,0,0,0,0,0,0
85,85,G49472,75,0,0,0,0,0,0
86,86,G49473,62,0,32,0,5,0,0
87,87,G49476,159,0,3,1,1,0,0
88,88,G49477,23,0,0,0,0,0,0
89,89,G4947A,69,0,2,0,0,0,0
90,90,G4947B,64,0,0,0,0,0,0
91,91,G4947C,2,0,63,0,1,0,0
92,92,G55561,6,0,5,0,0,0,0
93,93,G55562,185,0,1,1,0,0,0
94,94,G55563,73,0,0,0,0,0,0
95,95,G55565,123,0,15,0,4,0,0
96,96,G55566,97,0,0,0,0,0,0
97,97,G55567,195,0,12,0,4,0,0
98,98,G5556B,62,0,0,0,0,0,0
99,99,G5556C,53,0,0,0,0,0,0
100,100,G56691,338,0,1,0,2,0,0
101,101,G56692,57,1,1,0,1,0,0
102,102,G56693,56,0,180,0,3,0,0
103,103,G56695,58,0,44,0,8,0,0
104,104,G56696,0,0,21,0,0,0,0
105,105,G56697,75,0,0,0,0,0,0
106,106,G5669A,16,0,0,0,0,0,0
107,107,G5669B,86,0,0,0,1,0,0
108,108,G5669C,92,0,102,0,2,0,0
109,109,G59591,19,1,1,0,0,0,0
110,110,G59592,51,0,0,0,0,0,0
111,111,G59593,113,0,42,0,1,0,0
112,112,G59595,47,0,33,0,0,0,0
113,113,G59596,196,0,34,0,0,0,0
114,114,G59597,130,0,39,0,0,0,0
115,115,G5959A,20,1,38,0,0,0,0
116,116,G5959B,160,0,0,0,0,0,0
117,117,G5959C,83,2,54,0,0,0,0
118,118,G59601,241,0,0,0,0,0,0
119,119,G59602,3,0,20,0,0,0,0
120,120,G59603,0,0,7,0,0,0,0
121,121,G59604,0,0,7,0,0,0,0
122,122,G59605,47,0,1,0,0,0,0
123,123,G59606,22,0,6,0,0,0,0
124,124,G59608,33,0,0,0,0,0,0
125,125,G59611,45,18,0,0,0,0,0
126,126,G59616,10,0,15,0,0,0,0
127,127,G59617,0,0,102,0,0,0,0
128,128,G63191,99,0,0,0,0,0,0
129,129,G63192,291,0,0,2,0,0,0
130,130,G63193,59,0,1,0,0,0,0
131,131,G63195,0,0,3,0,0,0,0
