,index,Cell_ID,Lat_Cell,Lon_Cell,Ant_Dirction,Sum_Nearest,Sum_overshooting,Sum_Blocked,Sum_Bad_Coverge,Sum_Loaded,Sum_cross_sector,Sum_back_lobe,SUM_col,Nearest_per,overshooting_per,Blocked_per,Bad_Coverge_per,Loaded_per,cross_sector_per,back_lobe_per
0,0,G40031,30.59130558,31.50971533,50.0,0,3,0,0,0,0,0,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1,1,G40032,30.59130558,31.50971533,130.0,10,0,0,1,0,0,0,11,90.91,0.0,0.0,9.09,0.0,0.0,0.0
2,2,G40033,30.59130558,31.50971533,230.0,73,0,3,0,2,0,0,78,93.59,0.0,3.85,0.0,2.56,0.0,0.0
3,3,G40035,30.59130558,31.50971533,50.0,138,0,4,3,3,0,0,148,93.24,0.0,2.7,2.03,2.03,0.0,0.0
4,4,G40036,30.59130558,31.50971533,130.0,68,0,0,1,0,0,0,69,98.55,0.0,0.0,1.45,0.0,0.0,0.0
5,5,G40037,30.59130558,31.50971533,230.0,10,0,0,0,0,0,0,10,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,G4003A,30.59130558,31.50971533,50.0,36,1,0,0,0,0,0,37,97.3,2.7,0.0,0.0,0.0,0.0,0.0
7,7,G4003B,30.59130558,31.50971533,130.0,38,0,0,0,2,0,0,40,95.0,0.0,0.0,0.0,5.0,0.0,0.0
8,8,G4003C,30.59130558,31.50971533,230.0,15,0,5,0,0,0,0,20,75.0,0.0,25.0,0.0,0.0,0.0,0.0
9,9,G41981,30.57827568,31.51136017,30.0,53,0,1,4,0,0,0,58,91.38,0.0,1.72,6.9,0.0,0.0,0.0
10,10,G41982,30.57827568,31.51136017,150.0,104,0,0,0,0,0,0,104,100.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,G41983,30.57827568,31.51136017,270.0,92,0,0,0,0,0,0,92,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,G41985,30.57827568,31.51136017,30.0,63,0,0,0,0,0,0,63,100.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,G41986,30.57827568,31.51136017,150.0,19,0,0,0,0,0,0,19,100.0,0.0,0.0,0.0,0.0,0.0,0.0
